郑州大酒店,重庆代表团,河南省郑州市二七区兴隆街8号(火车站北出站口正前方)
建国饭店,北京代表团,金水区金水路86号
艾沐国际酒店,吉林代表团,郑州市管城回族区橡树玫瑰城3期63号楼
御玺中州国际饭店,青海代表团,河南省郑州市管城回族区东明路南53号
朵哈国际假日宾馆,甘肃代表团,河南省郑州市金水区中州大道2号(中州大道与广电南路交叉口)
大河锦悦酒店,陕西代表团,河南省郑州市金水区商务外环路2号楼河南传媒大厦4-5层
丰乐园酒店,河北代表团,郑州市惠济区南阳路北段
海容大酒店,江西代表团,郑州市金水区民生路与正光路交汇处
河南天地粤海酒店,新疆生产建设兵团,河南省郑州市金水区农业路东41号
中州皇冠假日酒店,河南代表团,郑州市金水区金水路115号
弘润华夏大酒店,江苏代表团,河南省郑州市惠济区丰乐路北段96号
郑州华智酒店,内蒙古代表团,河南省郑州市中原区科学大道97号
汇艺万怡酒店,湖北代表团,郑东新区商鼎路77号
五洲大酒店,四川代表团,郑州市金水区东风路38号
河南饭店,湖南代表团,河南省郑州市金水区花园路88号
大河锦江饭店,上海代表团,河南省郑州市金水区花园路66号(花园路与纬五路交叉口)
易元深航国际酒店,宁夏代表团,河南省郑州市管城回族区心怡路319号易元国际A座
意如逸泉国际酒店,天津代表团,河南省郑州市管城回族区通泰路1号
银河来旺达酒店,安徽代表团,河南省郑州市管城回族区华丰灯饰界D区(七里河南路南)
永和铂爵国际酒店,广西代表团,河南省郑州市金水区金水东路21号
郑飞国际酒店,浙江代表团,河南省郑州市二七区淮南街郑州郑飞医院对面
郑州光华大酒店,西藏代表团,郑州高新技术产业开发区瑞达路68号(与合欢街交叉口) 
铭汇文华酒店,山东代表团,河南省郑州市管城回族区航海东路101号
嵩山饭店,云南代表团,河南省郑州市中原区伊河路156号
郑州未来大酒店,黑龙江代表团,河南省郑州市未来大道69号附1号
天鹅城国际饭店,辽宁代表团,管城回族区郑东新区商鼎路与康平路交叉口(距离高铁郑州东站1公里)
新田美爵酒店,解放军代表团,河南省郑州市荥阳市新区新田大道1号
郑州M酒店,山西代表团,郑州中原区陇海西路80号
中晟卡莱顿大酒店,新疆代表团,郑州二七区中原西路82号
中油花园酒店,福建代表团,河南省郑州市金水区商务外环路11号
紫荆山宾馆,贵州代表团, 河南省郑州市金水区金水路8号
郑州粤海酒店,广东代表团,河南省郑州市二七区德化街5号(二七广场中心地带)  
黄河饭店,海南代表团,河南省郑州市二七区中原路106号
正方元锦江国际饭店,港、澳、台观摩团,郑州市金水区黄河南路86号
